Departement,Espece,Lib_zone,Zone,Groupe,
29,Tellines,Baie d'Audierne,29.06.020,2,
29,Tellines,Baie de Douarnenez,29.05.030,2,
29,Tellines,Baie de Douarnenez,29.05.040,2,
29,Tellines,Blancs Sablons,29.03.020,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.07.061,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.07.062,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.020,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.030,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.042,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.050,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),29.08.070,2,
29,Coques et Palourdes,Secteur Sud Finistère (Concarneau),2956.08.090,2,
29,Coques & palourdes,Rivière Pont l’Abbé,29.07.040,2,
29,Coques & palourdes,Rivière Pont l’Abbé,29.07.050,2,
29,Coques,Baie de Locquirec,2229.00.02 ,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.020,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.030,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.040,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.900,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.01.060,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.020,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.010,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.020,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.030,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.070,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.080,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.04.112,2,
29,Coques et Palourdes,"Secteur Nord Finistère (Morlaix, Camaret, Brest)",29.05.30,2,
29,Huîtres,Rade de Brest,29.04.020,3,
29,Huîtres,Rade de Brest,29.04.030,3,
29,Huîtres,Rade de Brest,29.04.041,3,
29,Huîtres,Rade de Brest,29.04.042,3,
29,Huîtres,Rade de Brest,29.04.060,3,
29,Huîtres,Rade de Brest,29.04.070,3,
29,Huîtres,Rade de Brest,29.04.080,3,
29,Huîtres,Rade de Brest, 29.04.090,3,
29,Huîtres,Rade de Brest,29.04.100,3,
29,Huîtres,Rade de Brest,29.04.111,3,
29,Huîtres,Rade de Brest,29.04.112,3,
29,Huîtres,Rade de Brest,29.04.130,3,
29,Huîtres,Rade de Brest,29.04.150,3,
56,Coques et palourdes,Rivière d’Etel ,56.05.4,2,
56,Coques et palourdes,Rivière d’Etel ,56.05.5,2,
56,Oursins,Secteur de Lorient,56.03.1,1,
56,Oursins,Secteur de Lorient,56.04.1,1,
56,Oursins,Secteur de Lorient,56.04.3,1,
56,Oursins,Secteur de Lorient,56.04.2,1,
56,Oursins,Secteur de Lorient,56.04.4,1,
56,Oursins,Secteur de Lorient,56.04.5,1,
56,Oursins,Secteur de Lorient,56.05.1,1,
56,Oursins,Secteur de Lorient,56.05.2,1,
56,Oursins,Secteur de Lorient,56.05.3,1,
56,Oursins,Secteur de Lorient,56.05.4,1,
56,Oursins,Secteur de Lorient,56.05.5,1,
56,Oursins,Secteur de Lorient,56.05.6,1,
56,Oursins,Secteur de Lorient,56.06.1,1,
22,Coques et palourdes,Banc du Guer,22.11.10,2,
22,Coques et palourdes,Goas Treiz (Trebeurden),22.10.10,2,
22,Coques et palourdes,Plougrescant/Pleubian – Pleubian/Lanmodez,22.07.12,2,
22,Coques et palourdes,Plougrescant/Pleubian – Pleubian/Lanmodez,22.06.20,2,
22,Coques et palourdes,Baie de Binic,22.03.40,2,
22,Coques et palourdes,Baie de Saint Brieuc,22.03.22,2,
22,Coques et palourdes,Baie de Saint Brieuc,22.03.23,2,
22,Coques et palourdes,Baie de Fresnaie ,22.02.10 ,2,
22,Coques et palourdes,Baie de l’Arguenon ,22.01.20 ,2,
22,Coques et palourdes,Baie de Lancieux ,22.01.10 ,2,
22,Coques et palourdes,La Ville Ger en Rance,2235.00.01,2,
22,Huîtres creuses,« Gisement de Pordic »,22.03.30,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.30,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.22,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.21,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.10,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.30,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.20,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.10,3,
22,Moules,Gisements classés du QM de Saint Brieuc,22.01.20,3,
35,Coques et palourdes,Ille & Vilaine,3522.02,2,
35,Coques et palourdes,Ille & Vilaine,3522.03,2,
35,Coques et palourdes,Ille & Vilaine,3522.05,2,
35,Coques et palourdes,Ille & Vilaine,3522.04,2,
35,Moules,Banc des Hermelles,35.14,3,
35,Moules,Banc des Hermelles,35.16,3,
